Evolución Nº de ingresos nuevos en planta;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Nuevos Ingresos Hospitalarios;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
2020/04/21;49;7;5;4;10;4;1;1;2;0;2;4;2;0;6;1;0;0;0;0;
2020/04/22;52;11;8;6;8;6;0;0;1;1;2;2;1;0;2;3;0;0;1;0;
2020/04/23;52;7;6;11;6;0;1;1;0;0;2;2;0;2;10;2;0;1;1;0;
2020/04/24;59;12;9;16;3;3;0;0;2;1;3;2;1;2;2;2;0;0;1;0;
2020/04/25;35;5;6;4;3;3;2;1;1;0;1;1;0;0;5;3;0;0;0;0;
2020/04/26;31;6;6;5;1;2;1;0;3;0;0;1;0;0;3;3;0;0;0;0;
2020/04/27;41;10;8;8;8;2;0;0;1;0;0;1;1;0;2;0;0;0;0;0;
2020/04/28;42;7;6;7;3;1;2;0;1;0;2;2;1;0;7;3;0;0;0;0;
2020/04/29;58;13;14;11;4;4;2;1;1;0;3;0;0;1;4;0;0;0;0;0;
2020/04/30;50;4;13;5;13;3;1;0;2;0;1;0;1;2;2;3;0;0;0;0;
2020/05/01;35;8;7;3;8;1;0;0;3;1;1;0;0;0;2;1;0;0;0;0;
2020/05/02;27;5;3;3;7;2;0;0;0;1;0;0;0;0;5;1;0;0;0;0;
2020/05/03;28;9;5;1;4;2;2;0;0;2;0;0;0;0;3;0;0;0;0;0;
2020/05/04;52;18;9;7;6;2;0;0;1;1;1;0;1;2;2;2;0;0;0;0;
2020/05/05;55;10;8;3;11;5;1;1;1;1;3;0;1;1;3;5;0;0;1;0;
2020/05/06;58;10;13;7;12;3;1;0;0;1;0;0;0;1;5;5;0;0;0;0;
