Kasu positibo berriak Euskadin (PCR+Ag testak) / Casos positivos nuevos en Euskadi (test PCRs+Ag);
Data / Fecha;Kasuak / Casos;Euskadi: 14 eguneko 100.000 biztanleko intzidentzia metatua (PCR testak) / Euskadi: Incidencia acumulada 14 días x 100.000 habitantes (test PCRs) ;Araba: 14 eguneko 100.000 biztanleko intzidentzia metatua (PCR testak) /Álava: Incidencia acumulada 14 días x 100.000 habitantes (test PCRs) ;Bizkaia: 14 eguneko 100.000 biztanleko intzidentzia metatua (PCR testak) /Bizkaia: Incidencia acumulada 14 días x 100.000 habitantes (test PCRs) ;Gipuzkoa: 14 eguneko 100.000 biztanleko intzidentzia metatua (PCR testak) /Gipuzkoa: Incidencia acumulada 14 días x 100.000 habitantes (test PCRs) ;
2021/02/08;723;607,67;582,66;637,49;549,79;;
2021/02/09;748;591,49;565,10;619,82;537,44;;
2021/02/10;684;564,71;539,05;589,88;515,92;;
2021/02/11;643;536,48;513,31;562,55;485,66;;
2021/02/12;613;514,79;486,06;540,97;465,81;;
2021/02/13;423;495,16;468,49;521,83;445,69;;
2021/02/14;418;470,88;438,81;504,07;414,32;;
2021/02/15;453;450,20;418,52;483,71;393,08;;
2021/02/16;499;424,83;386,12;464,04;361,99;;
2021/02/17;563;404,05;367,04;446,37;336,04;;
2021/02/18;505;385,14;341,60;429,40;317,71;;
2021/02/19;487;364,23;322,83;408,43;296,76;;
2021/02/20;337;350,82;308,29;401,46;274,41;;
2021/02/21;303;336,36;305,26;383,62;260,11;;
2021/02/22;428;322,95;292,54;371,96;244,84;;
2021/02/23;405;307,36;275,58;356,91;230,27;;
2021/02/24;402;294,54;268,92;342,37;218,61;;
2021/02/25;368;282,04;258,62;326,53;211,53;;
2021/02/26;349;270,04;258,62;310,87;200,84;;
2021/02/27;269;263,03;255,60;304,60;190,85;;
2021/02/28;242;255,03;252,57;292,24;188,21;;
2021/03/01;366;251,08;257,72;283,28;188,77;;
2021/03/02;340;243,85;260,74;269,96;186,55;;
2021/03/03;331;233,30;246,21;259,08;178,91;;
2021/03/04;323;225,03;246,21;248,55;170,45;;
2021/03/05;307;216,85;242,88;235,94;167,39;;
2021/03/06;247;212,76;238,33;227,84;170,31;;
2021/03/07;214;208,71;234,09;223,49;167,39;;
2021/03/08;334;204,44;234,40;215,40;166,70;;
2021/03/09;335;201,25;229,55;210,17;167,25;;
2021/03/10;369;199,75;223,49;208,61;167,67;;
2021/03/11;380;200,30;218,95;206,69;174,61;;
2021/03/12;356;200,62;214,71;207,13;176,55;;
2021/03/13;295;201,80;212,29;206,08;182,80;;
2021/03/14;246;201,98;212,29;206,78;181,97;;;;;;
2021/03/15;394;203,25;220,47;206,52;182,80;;;;;;
2021/03/16;402;206,07;221,37;209,22;186,27;;;;;;
2021/03/17;410;209,66;236,21;207,04;193,90;;;;;;
2021/03/18;466;216,16;245,90;213,92;198,21;;;;;;
2021/03/19;326;217,03;243,18;214,87;200,71;;;;;;
2021/03/20;280;218,53;242,27;217,31;201,40;;;;;;
2021/03/21;329;223,76;250,14;221,66;206,95;;;;;;
2021/03/22;435;228,35;265,89;224,62;208,76;;;;;;
2021/03/23;510;236,30;281,03;231,84;214,72;;;;;;
2021/03/24;529;243,58;304,66;235,15;220,97;;;;;;
2021/03/25;604;253,76;322,83;243,59;229,44;;;;;;
2021/03/26;592;264,49;338,57;251,43;243,18;;;;;;
2021/03/27;467;272,31;349,48;253,69;258,31;;;;;;
2021/03/28;362;277,58;354,32;257,78;265,66;;;;;;
2021/03/29;501;282,45;356,74;260,74;273,44;;;;;;
2021/03/30;631;292,86;371,58;268,75;286,21;;;;;;
2021/03/31;643;303,45;376,73;278,23;300,92;;;;;;
2021/04/01;567;308,04;374,61;280,15;313,13;;;;;;
2021/04/02;524;317,04;392,18;284,24;325,90;;;;;;
2021/04/03;468;325,59;407,92;287,98;338,95;;;;;;
2021/04/04;564;336,27;414,28;294,68;357,27;;;;;;
2021/04/05;529;340,54;407,62;295,81;371,01;;;;;;
2021/04/06;731;350,59;405,80;303,82;389,34;;;;;;
2021/04/07;788;362,37;398,84;315,48;409,46;;;;;;
2021/04/08;792;370,91;409,74;317,31;428,20;;;;;;
2021/04/09;920;385,82;414,59;331,49;447,91;;;;;;
2021/04/10;761;399,19;420,95;347,51;459,99;;;;;;
2021/04/11;598;409,92;423,97;354,29;480,25;;;;;;
2021/04/12;726;420,15;426,70;360,91;500,10;;;;;;
2021/04/13;1003;437,06;428,21;371,53;534,24;;;;;;
2021/04/14;940;450,56;431,54;382,49;556,17;;;;;;
2021/04/15;916;466,42;434,27;395,46;581,44;;;;;;
